gray_value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,3663
31,9563
32,9414
33,5408
34,6070
35,15090
36,9433
37,0
38,10815
39,10056
40,10310
41,11588
42,10996
43,9530
44,9008
45,0
46,16832
47,7735
48,6486
49,14002
50,7185
51,6400
52,11654
53,8670
54,9577
55,10005
56,7331
57,7933
58,7649
59,11241
60,11242
61,6790
62,12138
63,6112
64,9076
65,9008
66,8947
67,10401
68,9819
69,7386
70,8117
71,9147
72,9205
73,11623
74,7979
75,7210
76,8887
77,9588
78,10463
79,8676
80,9463
81,6214
82,9506
83,9663
84,9330
85,9153
86,8831
87,8972
88,8934
89,9470
90,10267
91,7347
92,11492
93,4120
94,8582
95,9011
96,9553
97,9907
98,10438
99,5194
100,10276
101,10065
102,9707
103,8928
104,8682
105,8850
106,8673
107,9085
108,10131
109,10956
110,5623
111,11022
112,5228
113,10003
114,12873
115,7809
116,9884
117,8219
118,8971
119,10154
120,5156
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
