gray_value,count
0,696
1,476
2,2052
3,2759
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,15537
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,72007
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,32290
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,26322
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,32049
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,21043
102,0
103,0
104,0
105,0
106,0
107,13262
108,0
109,0
110,0
111,0
112,0
113,0
114,12360
115,0
116,0
117,0
118,9592
119,0
120,0
121,0
122,0
123,9064
124,0
125,0
126,0
127,0
128,9818
129,0
130,0
131,0
132,8249
133,0
134,0
135,6526
136,0
137,0
138,5529
139,0
140,4807
141,0
142,4331
143,0
144,3755
145,0
146,3807
147,0
148,3685
149,3060
150,0
151,3014
152,3010
153,0
154,3090
155,3222
156,0
157,3087
158,2977
159,0
160,3067
161,2897
162,0
163,2942
164,2761
165,2857
166,0
167,2813
168,2770
169,2743
170,0
171,2781
172,2803
173,2792
174,0
175,2823
176,2815
177,0
178,2752
179,2736
180,2664
181,0
182,2813
183,2813
184,2635
185,0
186,2707
187,2466
188,2348
189,2374
190,2252
191,2063
192,2142
193,2189
194,2036
195,1932
196,1912
197,1896
198,1930
199,1887
200,1804
201,1705
202,1689
203,3368
204,1627
205,1647
206,2946
207,1528
208,1363
209,2672
210,2484
211,1169
212,2245
213,2136
214,1969
215,2669
216,1638
217,2214
218,2046
219,2287
220,2134
221,1527
222,2569
223,1899
224,1882
225,2131
226,2157
227,1723
228,2193
229,2032
230,2095
231,1758
232,2241
233,1904
234,2051
235,2297
236,1774
237,2353
238,1898
239,1966
240,2149
241,1534
242,2280
243,1705
244,2697
245,1776
246,1856
247,1930
248,2013
249,2042
250,2001
251,2097
252,1806
253,2354
254,2410
255,1073
