gray_value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,2490
31,6136
32,6209
33,0
34,5117
35,7877
36,4078
37,3618
38,3542
39,3436
40,4661
41,4290
42,4978
43,4781
44,4164
45,8773
46,4035
47,3769
48,6405
49,2632
50,5358
51,5305
52,5166
53,2575
54,5287
55,2666
56,5743
57,5982
58,5037
59,2415
60,4511
61,4712
62,6553
63,4980
64,3263
65,5008
66,3555
67,5959
68,3989
69,4251
70,4552
71,4923
72,5377
73,2710
74,5483
75,2886
76,6471
77,3489
78,3824
79,7376
80,3384
81,3353
82,3431
83,7054
84,3266
85,5971
86,2749
87,5386
88,4826
89,6225
90,4158
91,4262
92,4579
93,5316
94,4737
95,4795
96,3098
97,4742
98,5661
99,3979
100,5828
101,2834
102,5366
103,3797
104,5135
105,5043
106,4772
107,4082
108,4571
109,5201
110,4785
111,4520
112,3734
113,4472
114,5208
115,4614
116,4953
117,3149
118,5083
119,5184
120,2540
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
